Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,15353661A,https://www.brilliantearth.com/1.99-Ct.-Fancy-Vivid-Blue-Round-Lab-Grown-Diamond-15353661A/,2330,Round,1.99,blue,,VS1,,Lab Grown
Brilliant Earth,18057353A,https://www.brilliantearth.com/1.10-Ct.-Fancy-Vivid-Pink-Oval-Lab-Grown-Diamond-18057353A/,1910,Oval,1.1,pink,,VVS2,,Lab Grown
Brilliant Earth,17944657A,https://www.brilliantearth.com/0.50-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17944657A/,640,Pear,0.5,pink,,SI2,,Lab Grown
Brilliant Earth,16489279Y,https://www.brilliantearth.com/1.10-Ct.-Fancy-Vivid-Blue-Emerald-Lab-Grown-Diamond-16489279Y/,1140,Emerald,1.1,blue,,VS1,,Lab Grown
Brilliant Earth,16728583A,https://www.brilliantearth.com/2.04-Ct.-Fancy-Vivid-Blue-Cushion-Lab-Grown-Diamond-16728583A/,2450,Cushion,2.04,blue,,VS1,,Lab Grown
Brilliant Earth,17663882A,https://www.brilliantearth.com/3.50-Ct.-Fancy-Intense-Yellow-Cushion-Lab-Grown-Diamond-17663882A/,7020,Cushion,3.5,yellow,,VS1,,Lab Grown
Brilliant Earth,17045735A,https://www.brilliantearth.com/2.91-Ct.-Fancy-Vivid-Blue-Round-Lab-Grown-Diamond-17045735A/,4120,Round,2.91,blue,,VVS2,,Lab Grown
Brilliant Earth,17946964A,https://www.brilliantearth.com/0.76-Ct.-Fancy-Vivid-Blue-Princess-Lab-Grown-Diamond-17946964A/,770,Princess,0.76,blue,,VVS2,,Lab Grown
Brilliant Earth,12151876A,https://www.brilliantearth.com/1.01-Ct.-Fancy-Brownish-Greenish-Yellow-Pear-Diamond-12151876A/,4180,Pear,1.01,yellow,,SI1,,Lab Grown
Brilliant Earth,17948117A,https://www.brilliantearth.com/2.17-Ct.-Fancy-Vivid-Green-Emerald-Lab-Grown-Diamond-17948117A/,4690,Emerald,2.17,green,,VVS2,,Lab Grown
Brilliant Earth,18466705A,https://www.brilliantearth.com/1.02-Ct.-Fancy-Intense-Pink-Cushion-Lab-Grown-Diamond-18466705A/,1670,Cushion,1.02,pink,,VS1,,Lab Grown
Brilliant Earth,17945365A,https://www.brilliantearth.com/0.95-Ct.-Fancy-Vivid-Blue-Marquise-Lab-Grown-Diamond-17945365A/,930,Marquise,0.95,blue,,VS2,,Lab Grown
Brilliant Earth,15537769Y,https://www.brilliantearth.com/2.08-Ct.-Fancy-Vivid-Blue-Pear-Lab-Grown-Diamond-15537769Y/,2490,Pear,2.08,blue,,VS1,,Lab Grown
Brilliant Earth,18467121A,https://www.brilliantearth.com/1.56-Ct.-Fancy-Vivid-Pink-Oval-Lab-Grown-Diamond-18467121A/,2740,Oval,1.56,pink,,VS1,,Lab Grown
Brilliant Earth,15960720A,https://www.brilliantearth.com/4.00-Ct.-Fancy-Intense-Pink-Emerald-Lab-Grown-Diamond-15960720A/,9800,Emerald,4,pink,,VS1,,Lab Grown
Brilliant Earth,14689372A,https://www.brilliantearth.com/0.32-Ct.-Fancy-Vivid-Pink-Round-Lab-Grown-Diamond-14689372A/,410,Round,0.32,pink,,VVS2,,Lab Grown
Brilliant Earth,14687928A,https://www.brilliantearth.com/4.29-Ct.-Fancy-Vivid-Pink-Pear-Lab-Grown-Diamond-14687928A/,10510,Pear,4.29,pink,,VS1,,Lab Grown
Brilliant Earth,15645222A,https://www.brilliantearth.com/1.07-Ct.-Fancy-Intense-Yellow-Cushion-Lab-Grown-Diamond-15645222A/,1530,Cushion,1.07,yellow,,VVS2,,Lab Grown
Brilliant Earth,18466348A,https://www.brilliantearth.com/1.08-Ct.-Fancy-Vivid-Blue-Round-Lab-Grown-Diamond-18466348A/,1230,Round,1.08,blue,,VVS2,,Lab Grown
Brilliant Earth,14689315A,https://www.brilliantearth.com/0.34-Ct.-Fancy-Vivid-Pink-Round-Lab-Grown-Diamond-14689315A/,440,Round,0.34,pink,,VVS2,,Lab Grown
Brilliant Earth,17943701A,https://www.brilliantearth.com/0.40-Ct.-Fancy-Vivid-Pink-Marquise-Lab-Grown-Diamond-17943701A/,470,Marquise,0.4,pink,,SI2,,Lab Grown
Brilliant Earth,17943642A,https://www.brilliantearth.com/10.26-Ct.-Fancy-Intense-Pink-Heart-Lab-Grown-Diamond-17943642A/,24000,Heart,10.26,pink,,VS1,,Lab Grown
Brilliant Earth,17835050A,https://www.brilliantearth.com/0.49-Ct.-Fancy-Intense-Yellow-Orange-Pear-Lab-Grown-Diamond-17835050A/,720,Pear,0.49,orange,,VVS2,,Lab Grown
